Patch1,Patch2,Patch3,Patch4,Patch5,Patch6,Patch7,Patch8,Patch9,Patch10,Patch11,Patch12,Patch13,Patch14,Patch15,Patch16,Patch17,Patch18,Patch19,Patch20,Patch21,Patch22,Patch23,Patch24
4.813835000000000086e+00,9.742696000000000467e+00,9.733720999999999179e+00,5.032437999999999967e+00,1.040830000000000055e+01,8.942465999999999582e+00,3.846562000000000037e+00,9.878052000000000277e+00,8.538228999999999402e+00,7.920060999999999574e+00,5.245270999999999795e+00,5.298936999999999564e+00,5.482555999999999763e+00,4.384506000000000014e+00,3.760934999999999917e+00,4.163613999999999926e+00,9.560083999999999804e+00,7.563081000000000387e+00,1.199557000000000073e+01,1.006414000000000009e+01,9.333330999999999378e+00,7.880498000000000225e+00,5.688887000000000249e+00,2.907680000000000042e+00
4.855887000000000064e+00,1.012381000000000064e+01,1.025281999999999982e+01,5.098345000000000127e+00,1.110285000000000011e+01,9.931319999999999482e+00,4.122253999999999863e+00,1.012031999999999954e+01,8.440682999999999936e+00,8.376825000000000188e+00,5.358469999999999622e+00,5.832898000000000138e+00,5.669847999999999999e+00,4.439705000000000013e+00,4.166236999999999746e+00,4.100998999999999839e+00,9.970518000000000214e+00,7.927793999999999563e+00,1.053290999999999933e+01,1.076589000000000063e+01,1.006934000000000040e+01,8.153045999999999793e+00,5.833450000000000024e+00,2.934898000000000007e+00
4.836030000000000051e+00,1.026817999999999920e+01,1.057170999999999950e+01,5.163696999999999981e+00,1.141197000000000017e+01,1.053199000000000041e+01,3.881358000000000086e+00,1.070434000000000019e+01,8.709918000000000049e+00,8.638135999999999370e+00,5.292505000000000237e+00,5.560777999999999999e+00,5.719464999999999577e+00,4.387024000000000257e+00,3.895569000000000059e+00,4.359058000000000099e+00,1.028494000000000064e+01,8.128005999999999176e+00,1.095411999999999964e+01,1.053400000000000070e+01,1.018455999999999939e+01,8.480541999999999803e+00,5.968791000000000402e+00,2.887242999999999782e+00
4.887719999999999843e+00,1.037720000000000020e+01,1.135139000000000031e+01,5.027085999999999721e+00,1.207246999999999915e+01,1.113653000000000048e+01,3.853038000000000185e+00,1.097987000000000002e+01,8.965044000000000679e+00,9.015007000000000659e+00,5.764274999999999594e+00,5.987921000000000049e+00,6.023609000000000435e+00,4.450676999999999772e+00,4.026628999999999792e+00,4.125092000000000425e+00,1.080070000000000086e+01,8.668374999999999275e+00,1.310542000000000051e+01,1.172987000000000002e+01,1.043759000000000015e+01,8.738835999999999160e+00,6.166910999999999810e+00,2.941847000000000101e+00
4.927804000000000073e+00,1.128405000000000058e+01,1.188438000000000017e+01,5.235796999999999812e+00,1.265330999999999939e+01,1.123999000000000059e+01,3.748543000000000180e+00,1.167351999999999990e+01,9.347777999999999921e+00,9.255463000000000662e+00,5.509832000000000285e+00,6.145847999999999978e+00,6.296431000000000111e+00,4.331209000000000309e+00,4.168244999999999756e+00,4.593043999999999905e+00,1.139822000000000024e+01,9.075563999999999965e+00,1.347195999999999927e+01,1.303604999999999947e+01,1.108539999999999992e+01,9.147487999999999175e+00,6.248179000000000372e+00,2.940412999999999943e+00
5.043396999999999686e+00,1.186341000000000001e+01,1.249053999999999931e+01,5.183990999999999794e+00,1.329627999999999943e+01,1.160696000000000083e+01,4.092429000000000094e+00,1.214678999999999931e+01,9.546969000000000705e+00,9.642274999999999707e+00,6.032651000000000430e+00,5.743459999999999788e+00,6.394050000000000011e+00,4.500024999999999942e+00,4.007399000000000377e+00,4.842781999999999698e+00,1.231666000000000061e+01,9.574979000000000795e+00,1.339995000000000047e+01,1.304491999999999940e+01,1.206129999999999924e+01,9.530416999999999916e+00,6.406418000000000390e+00,2.936434000000000211e+00
4.983939000000000341e+00,1.189748999999999945e+01,1.268800000000000061e+01,5.216637999999999664e+00,1.379301000000000066e+01,1.161054999999999993e+01,3.875306999999999835e+00,1.275514000000000081e+01,9.751080999999999221e+00,9.858508000000000493e+00,5.742462999999999873e+00,5.778948999999999891e+00,6.494360000000000355e+00,4.311993000000000187e+00,3.904990999999999879e+00,3.986178999999999917e+00,1.220034000000000063e+01,9.703198000000000434e+00,1.459445999999999977e+01,1.393224000000000018e+01,1.219821999999999917e+01,9.813805999999999585e+00,6.339934000000000403e+00,2.894686999999999788e+00
5.056785999999999781e+00,1.266173999999999999e+01,1.347467999999999932e+01,5.328058999999999656e+00,1.446659999999999968e+01,1.259985999999999962e+01,3.687323999999999824e+00,1.334352999999999945e+01,1.004060999999999915e+01,1.033070000000000022e+01,6.067510999999999655e+00,5.917545999999999751e+00,6.750879000000000296e+00,4.420182999999999751e+00,4.042722000000000371e+00,4.759668999999999706e+00,1.298030999999999935e+01,1.015137000000000000e+01,1.511463000000000001e+01,1.451055000000000028e+01,1.268881999999999977e+01,1.023506000000000071e+01,6.547117000000000075e+00,2.886954999999999938e+00
5.102707999999999799e+00,1.304326999999999970e+01,1.422847999999999935e+01,5.183257000000000225e+00,1.532442999999999955e+01,1.324864999999999959e+01,3.953237000000000112e+00,1.398404000000000025e+01,1.028457000000000043e+01,1.072114000000000011e+01,5.800707000000000058e+00,5.992488999999999955e+00,7.033342000000000205e+00,4.481944999999999624e+00,4.207086000000000325e+00,4.337235999999999869e+00,1.376994999999999969e+01,1.071033000000000079e+01,1.650161999999999907e+01,1.523028000000000048e+01,1.344636000000000031e+01,1.064128000000000007e+01,6.655879999999999797e+00,2.928161999999999932e+00
5.124856000000000300e+00,1.378607000000000049e+01,1.504508000000000045e+01,5.333662999999999599e+00,1.615952000000000055e+01,1.386863999999999919e+01,3.928539999999999921e+00,1.468399999999999928e+01,1.074253000000000036e+01,1.110481000000000051e+01,6.342670000000000030e+00,5.818852999999999831e+00,7.215925999999999618e+00,4.457837999999999745e+00,4.105658000000000030e+00,4.415014000000000216e+00,1.445583000000000062e+01,1.132457999999999920e+01,1.658261999999999858e+01,1.659221000000000146e+01,1.451646999999999998e+01,1.096915000000000084e+01,6.844389999999999752e+00,2.920903000000000027e+00
5.210545999999999900e+00,1.447301000000000037e+01,1.592966000000000015e+01,5.226263000000000325e+00,1.716409000000000162e+01,1.449520000000000053e+01,3.886016000000000137e+00,1.566341000000000072e+01,1.089593999999999951e+01,1.146894999999999953e+01,6.141582999999999792e+00,6.211339999999999861e+00,7.442580999999999669e+00,4.588959000000000010e+00,4.118566000000000393e+00,4.638376000000000055e+00,1.543111000000000033e+01,1.173654999999999937e+01,1.852358999999999867e+01,1.773962999999999823e+01,1.523243000000000080e+01,1.170998999999999945e+01,6.967398000000000202e+00,2.899258000000000113e+00
5.210212000000000288e+00,1.493346999999999980e+01,1.686011999999999844e+01,5.266008000000000244e+00,1.841619999999999990e+01,1.525501000000000040e+01,3.840875000000000039e+00,1.635720999999999847e+01,1.114422000000000068e+01,1.185788999999999938e+01,6.158339999999999925e+00,6.107038000000000189e+00,7.654137999999999664e+00,4.540085000000000370e+00,4.224260000000000126e+00,4.736229999999999940e+00,1.636374999999999957e+01,1.228466000000000058e+01,2.002032000000000167e+01,1.922168999999999883e+01,1.618729000000000084e+01,1.208337000000000039e+01,7.092581000000000024e+00,2.913170000000000037e+00
5.131343000000000210e+00,1.566820000000000057e+01,1.790679000000000087e+01,5.279170999999999836e+00,1.950155000000000172e+01,1.607237999999999900e+01,3.924291000000000196e+00,1.725818999999999903e+01,1.156115999999999921e+01,1.227849999999999930e+01,6.213083000000000133e+00,6.095329000000000441e+00,7.937056000000000111e+00,4.456726999999999883e+00,4.195920000000000094e+00,4.709578999999999738e+00,1.737180999999999997e+01,1.272945999999999955e+01,2.122043000000000035e+01,2.029941000000000173e+01,1.713503000000000043e+01,1.264639999999999986e+01,7.183434000000000097e+00,2.869442999999999966e+00
5.240953000000000195e+00,1.627909000000000006e+01,1.888104999999999833e+01,5.326862000000000208e+00,2.081511000000000067e+01,1.700760000000000005e+01,3.868977000000000110e+00,1.832467000000000112e+01,1.206170000000000009e+01,1.284863999999999962e+01,6.071776999999999980e+00,6.371834999999999916e+00,8.276217000000000823e+00,4.746269999999999989e+00,4.209724999999999717e+00,4.817497000000000362e+00,1.848554999999999993e+01,1.340282999999999980e+01,2.304126000000000118e+01,2.207345000000000113e+01,1.846525000000000105e+01,1.322913999999999923e+01,7.341363999999999557e+00,2.891014000000000195e+00
5.197364999999999569e+00,1.701814999999999856e+01,1.966075000000000017e+01,5.218496000000000024e+00,2.181522999999999968e+01,1.772785000000000011e+01,4.028131000000000128e+00,1.893413999999999930e+01,1.207103999999999999e+01,1.312790000000000035e+01,6.173021999999999565e+00,6.358373000000000275e+00,8.469680000000000319e+00,4.664029000000000202e+00,4.197180999999999607e+00,4.381400000000000183e+00,1.948325000000000173e+01,1.379533999999999949e+01,2.478386000000000067e+01,2.316460999999999970e+01,1.942227000000000103e+01,1.363172999999999924e+01,7.396215999999999902e+00,2.881311999999999873e+00
5.278424000000000227e+00,1.765264000000000166e+01,2.056472000000000122e+01,5.331616999999999607e+00,2.304214999999999947e+01,1.860305999999999926e+01,3.849346999999999852e+00,1.992934999999999945e+01,1.223756000000000022e+01,1.354651999999999923e+01,6.412517000000000245e+00,6.177558000000000327e+00,8.732865999999999573e+00,4.672584999999999766e+00,4.141613000000000433e+00,4.743044000000000260e+00,2.052005000000000123e+01,1.434587999999999930e+01,2.615555000000000163e+01,2.471611000000000047e+01,2.016856999999999900e+01,1.406550999999999974e+01,7.584814999999999863e+00,2.873510000000000009e+00
5.297392999999999574e+00,1.813056999999999874e+01,2.155932999999999922e+01,5.338366999999999862e+00,2.433250999999999920e+01,1.931527000000000172e+01,4.022950999999999944e+00,2.076820999999999984e+01,1.242145999999999972e+01,1.386702000000000012e+01,6.193856000000000250e+00,6.100281999999999982e+00,9.009142000000000650e+00,4.721775000000000055e+00,4.227324000000000304e+00,4.709439999999999849e+00,2.161888000000000076e+01,1.493318999999999974e+01,2.818432999999999922e+01,2.638772000000000162e+01,2.116178999999999988e+01,1.438990000000000080e+01,7.621418000000000248e+00,2.864057999999999993e+00
5.279637000000000135e+00,1.864751000000000047e+01,2.249135000000000062e+01,5.408589000000000091e+00,2.572964999999999947e+01,2.025887000000000171e+01,4.028603000000000378e+00,2.159943000000000168e+01,1.262276999999999916e+01,1.436120999999999981e+01,6.138241999999999976e+00,6.255910000000000082e+00,9.274860000000000326e+00,4.628295999999999744e+00,4.184218000000000437e+00,4.734816000000000358e+00,2.286746000000000123e+01,1.542961999999999989e+01,3.043532000000000082e+01,2.815985999999999834e+01,2.210287999999999897e+01,1.478674999999999962e+01,7.667932999999999666e+00,2.873813000000000173e+00
